--------- beginning of main
02-17 05:31:00.974 21547 21547 I AconfigPackage: com.android.sdksandbox.flags is mapped to com.android.adservices
02-17 05:31:00.974 21547 21547 I AconfigPackage: com.android.appsearch.flags is mapped to com.android.appsearch
02-17 05:31:00.974 21547 21547 I AconfigPackage: com.android.uwb.flags is mapped to com.android.uwb
02-17 05:31:00.974 21547 21547 I AconfigPackage: com.android.ranging.flags is mapped to com.android.uwb
02-17 05:31:00.974 21547 21547 I AconfigPackage: com.android.org.conscrypt.flags is mapped to com.android.conscrypt
02-17 05:31:00.974 21547 21547 I AconfigPackage: com.android.org.conscrypt.net.flags is mapped to com.android.conscrypt
02-17 05:31:00.974 21547 21547 I AconfigPackage: com.android.media.extractor.flags is mapped to com.android.media
02-17 05:31:00.974 21547 21547 I AconfigPackage: com.android.media.mainline.flags is mapped to com.android.media
02-17 05:31:00.974 21547 21547 I AconfigPackage: com.android.net.ct.flags is mapped to com.android.tethering
02-17 05:31:00.974 21547 21547 I AconfigPackage: com.android.net.flags is mapped to com.android.tethering
02-17 05:31:00.974 21547 21547 I AconfigPackage: android.net.vcn is mapped to com.android.tethering
02-17 05:31:00.974 21547 21547 I AconfigPackage: com.android.nearby.flags is mapped to com.android.tethering
02-17 05:31:00.974 21547 21547 I AconfigPackage: android.net.http is mapped to com.android.tethering
02-17 05:31:00.974 21547 21547 I AconfigPackage: com.android.net.thread.flags is mapped to com.android.tethering
02-17 05:31:00.974 21547 21547 I AconfigPackage: com.android.system.virtualmachine.flags is mapped to com.android.virt
02-17 05:31:00.974 21547 21547 I AconfigPackage: com.android.cellbroadcastreceiver.flags is mapped to com.android.cellbroadcast
02-17 05:31:00.974 21547 21547 I AconfigPackage: com.android.devicelock.flags is mapped to com.android.devicelock
02-17 05:31:00.975 21547 21547 I AconfigPackage: com.android.icu is mapped to com.android.i18n
02-17 05:31:00.975 21547 21547 I AconfigPackage: android.uprobestats.mainline.flags is mapped to com.android.uprobestats
02-17 05:31:00.975 21547 21547 I AconfigPackage: com.android.os.statsd.flags is mapped to com.android.os.statsd
02-17 05:31:00.975 21547 21547 I AconfigPackage: com.android.rkpd.flags is mapped to com.android.rkpd
02-17 05:31:00.975 21547 21547 I AconfigPackage: com.android.healthfitness.flags is mapped to com.android.healthfitness
02-17 05:31:00.975 21547 21547 I AconfigPackage: com.android.healthfitness.beta.test is mapped to com.android.healthfitness
02-17 05:31:00.975 21547 21547 I AconfigPackage: com.android.wifi.flags is mapped to com.android.wifi
02-17 05:31:00.975 21547 21547 I AconfigPackage: com.android.bluetooth.flags is mapped to com.android.bt
02-17 05:31:00.975 21547 21547 E FeatureFlagsImplExport: android.os.flagging.AconfigStorageReadException: ERROR_PACKAGE_NOT_FOUND: package android.xr cannot be found on the device
02-17 05:31:00.995 21547 21547 I app_process: System.exit called, status: 0
02-17 05:31:00.995 21547 21547 I AndroidRuntime: VM exiting with result code 0.
02-17 05:31:01.042  7746  7746 I ImeTracker: system_server:9490f317: onCancelled at PHASE_CLIENT_ON_CONTROLS_CHANGED
02-17 05:31:01.076  7746  7746 I ImeTracker: system_server:6fe0be22: onCancelled at PHASE_CLIENT_ON_CONTROLS_CHANGED
02-17 05:31:01.077  7746  7746 D ImeBackDispatcher: switch root view (mImeCallbacks.size=1)
02-17 05:31:01.077  7746  7746 D WindowOnBackDispatcher: setTopOnBackInvokedCallback (unwrapped): android.view.ViewRootImpl$$ExternalSyntheticLambda12@f8337b5
02-17 05:31:01.077  7746  7746 D WindowOnBackDispatcher: setTopOnBackInvokedCallback (unwrapped): ImeOnBackInvokedCallback@223842117 Callback=android.window.IOnBackInvokedCallback$Stub$Proxy@bf667dc
02-17 05:31:01.358  7746  7746 I ImeTracker: com.termux:aeea314f: onRequestShow at ORIGIN_CLIENT reason SHOW_SOFT_INPUT fromUser false
02-17 05:31:01.359  7746  7746 D InsetsController: show(ime())
02-17 05:31:01.359  7746  7746 I ImeTracker: com.termux:aeea314f: onCancelled at PHASE_CLIENT_APPLY_ANIMATION
02-17 05:31:02.110  7746  7894 D BufferPoolAccessor2.0: bufferpool2 0x7b00833628 : 0(0 size) total buffers - 0(0 size) used buffers - 2/7 (recycle/alloc) - 5/24 (fetch/transfer)
02-17 05:31:02.110  7746  7894 D BufferPoolAccessor2.0: evictor expired: 2, evicted: 1
02-17 05:31:04.019 21581 21581 W bash    : type=1400 audit(0.0:47953): avc:  granted  { execute } for  name="grep" dev="dm-45" ino=780302 scontext=u:r:untrusted_app_27:s0:c206,c257,c512,c768 tcontext=u:object_r:app_data_file:s0:c206,c257,c512,c768 tclass=file app=com.termux
02-17 05:31:04.019 21581 21581 W bash    : type=1400 audit(0.0:47954): avc:  granted  { execute } for  name="grep" dev="dm-45" ino=780302 scontext=u:r:untrusted_app_27:s0:c206,c257,c512,c768 tcontext=u:object_r:app_data_file:s0:c206,c257,c512,c768 tclass=file app=com.termux
02-17 05:31:04.019 21581 21581 W bash    : type=1400 audit(0.0:47955): avc:  granted  { execute_no_trans } for  path="/data/data/com.termux/files/usr/bin/grep" dev="dm-45" ino=780302 scontext=u:r:untrusted_app_27:s0:c206,c257,c512,c768 tcontext=u:object_r:app_data_file:s0:c206,c257,c512,c768 tclass=file app=com.termux
